"ocrSubjNumR","ocrRepNo"
"1.2.2.2.1","NACA-TR-942"
"1.2.2.2.1","NACA-TN-2219"
"1.2.2.2.2","NACA-TR-877"
"1.2.2.2.2","NACA-TR-889"
"1.2.2.2.2","NACA-RM-L7D23"
"1.2.2.2.2","NACA-RM-L7C24"
"1.2.2.2.2","NACA-TR-892"
"1.2.2.2.2","NACA-TR-911"
"1.2.2.2.2","NACA-TR-921"
"1.2.2.2.2","NACA-TR-922"
"1.2.2.2.2","NACA-TR-925"
"1.2.2.2.2","NACA-TN-1943"
"1.2.2.2.2","NACA-TN-1973"
"1.2.2.2.2","NACA-TN-1977"
"1.2.2.2.2","NACA-TN-1991"
"1.2.2.2.2","NACA-TR-968"
"1.2.2.2.2","NACA-TR-969"
"1.2.2.2.2","NACA-TR-970"
"1.2.2.2.2","NACA-TR-971"
"1.2.2.2.2","NACA-TR-972"
"1.2.2.2.2","NACA-TN-2007"
"1.2.2.2.2","NACA-TN-2009"
"1.2.2.2.2","NACA-TN-2011"
"1.2.2.2.2","NACA-TN-2048"
"1.2.2.2.2","NACA-TN-2064"
"1.2.2.2.2","NACA-TN-2093"
"1.2.2.2.2","NACA-TN-2114"
"1.2.2.2.2","NACA-TN-2122"
"1.2.2.2.2","NACA-TN-2140"
"1.2.2.2.2","NACA-TN-2156"
"1.2.2.2.2","NACA-TN-2143"
"1.2.2.2.2","NACA-TN-2229"
"1.2.2.2.2","NACA-TN-2278"
"1.2.2.2.2","NACA-TN-2284"
"1.2.2.2.2","NACA-TN-2295"
"1.2.2.2.2","NACA-TN-2294"
"1.2.2.2.2","NACA-TN-2315"
"1.2.2.2.2","NACA-TN-2335"
"1.2.2.2.2","NACA-TN-2347"
"1.2.2.2.2","NACA-TN-2348"
"1.2.2.2.3","NACA-RM-A6K22"
"1.2.2.2.3","NACA-TR-872"
"1.2.2.2.3","NACA-TR-889"
"1.2.2.2.3","NACA-RM-L6K20"
"1.2.2.2.3","NACA-RM-L7D23"
"1.2.2.2.3","NACA-RM-L7C24"
"1.2.2.2.3","NACA-RM-L6K18a"
"1.2.2.2.3","NACA-TR-892"
"1.2.2.2.3","NACA-TR-902"
